Name,PUT ESX JAN19 4800,PUT ESX JAN19 5600,PUT ESX JAN19 6300,PUT ESX JAN19 6800,PUT ESX JAN19 7200,PUT ESX JAN19 7600,PUT ESX JAN19 8000,PUT ESX JAN19 8400,PUT ESX JAN19 8800,PUT ESX JAN19 9200
Code,C22BOP,A48UST,D83VJE,D72MZB,D09YJ4,D72MZQ,D72MZU,D72MZW,D72MZX,D72MZY
0,19,50,,,305.5,,,,,
1,26,57.5,,,315,,,,,
2,19.5,47.5,,,299.5,,,,,
3,30,56.5,,,293.5,,,,,
4,23,45.5,,,282,,,,,
5,20.5,46,,,288.5,,,,,
6,19,43,,,276,,,,,
7,20,45,,,275.5,,,,,
8,19.5,43.5,,,265.5,,,,,
9,18,40.5,,,256.5,,,,,
10,16,39,,,258.5,,,,,
11,13.5,36.5,,,265,,,,,
12,14.5,39,,,278,,,,,
13,15,41,,,289,,,,,
14,14,38.5,,,275.5,,,,,
15,14,38,,,278.5,,,,,
16,14.5,38,,165,267.5,425.5,653,953.5,1310,1694
17,16,42.5,,184,295.5,464.5,705,1015.5,1377.5,1763.5
18,15,43,,193.5,311,487,735,1052.5,1419.5,1807.5
19,14,39.5,,180.5,291.5,459.5,697.5,1006.5,1368,1754.5
20,13,38,,177.5,288,456,693.5,1002.5,1363.5,1750
21,16,47,,210.5,333.5,513.5,761,1075,1437.5,1824
22,18,52,,227.5,359,550,809.5,1133,1502,1890.5
23,21,57.5,,241,376.5,572.5,838,1168,1541,1931
24,21,59.5,,251.5,393.5,597,871.5,1209.5,1586.5,1977.5
25,24.5,68.5,,288,446.5,671,966,1319.5,1706,2102.5
26,45,105.5,,370,557.5,817.5,1143,1511,1898,2292
27,36.5,87,,311.5,475.5,712.5,1024,1387,1773.5,2167.5
28,43,101,,356.5,539.5,796.5,1123,1493,1881.5,2276
29,55,124.5,,412.5,608.5,875.5,1206,1577,1966,2361
30,51.5,115,,376.5,555.5,803,1117.5,1479.5,1865,2258.5
31,51.5,115,,377,558.5,810.5,1129,1493.5,1879.5,2273
32,41.5,96,,337.5,513,762,1080.5,1445.5,1831.5,2225.5
33,38.5,90,,319,488,731,1045.5,1409,1795,2188.5
34,30,75,,286,445,678,986.5,1348.5,1735,2129.5
35,29,74,,292.5,459.5,703,1020,1386.5,1774.5,2169.5
36,28.5,73.5,,293,461.5,707,1026.5,1394.5,1783,2177.5
37,27.5,70,,277.5,438,675,988.5,1353.5,1741.5,2136
38,28.5,72.5,,285,448.5,688.5,1004,1370,1758,2152.5
39,28,72,,285.5,450.5,692.5,1010.5,1377.5,1766,2161
40,24,62.5,,257.5,413,646.5,959.5,1325.5,1713.5,2108.5
41,25,65.5,,267,425.5,662.5,978,1344.5,1733,2128
42,27.5,69.5,,279.5,445.5,691,1012.5,1382,1771,2166
43,32.5,79.5,,310,488.5,747,1077.5,1451,1842,2237.5
44,40,93.5,,348.5,541,813,1153,1531.5,1924,2320
45,32.5,81,,319,504,771.5,1111.5,1490.5,1883.5,2279.5
46,30.5,77,,305.5,485,747.5,1083.5,1461,1853.5,2249.5
47,30,76,,303.5,481.5,742,1077,1454.5,1847,2243.5
48,27,68.5,,277,445,696.5,1026,1401.5,1793,2189
49,25.5,65,,266.5,431.5,680.5,1009.5,1384.5,1776,2172
50,26,65.5,,268,435.5,687.5,1018,1393,1784.5,2180
51,27.5,73,,302,484,752,1092.5,1472,1864,2260
52,28,74,,303,484,751,1091,1469.5,1861.5,2257.5
53,28,74.5,,303.5,483.5,748,1086,1464,1855.5,2251
54,24,65.5,,286.5,466,730.5,1068,1444.5,1836,2231.5
55,30,80.5,,346,551.5,837.5,1186.5,1567.5,1960,2356.5
56,26.5,73.5,,325.5,524.5,805.5,1152,1533,1925.5,2321.5
57,28.5,78,,344,551.5,840,1191.5,1574,1967,2363
58,34,92,,392.5,616.5,918.5,1276,1660.5,2054,2450.5
59,38.5,99,224.5,403.5,629,932.5,1291.5,1676.5,2070.5,2467
60,40.5,104,237,425,660,971.5,1335,1722.5,2117,2514
61,32.5,86,202,370,586,881.5,1235.5,1619,2013,2409.5
62,32.5,85.5,198,360.5,569,856.5,1205,1586,1979,2375.5
63,34.5,81.5,181.5,331,530.5,813,1159,1539,1931,2327
64,34.5,81.5,181.5,331,530.5,813,1159,1539,1931,2327
65,34.5,81.5,181.5,331,530.5,813,1159,1539,1931,2327
66,32.5,82.5,190.5,350.5,557.5,844.5,1193,1574.5,1967.5,2364
67,33.5,84,193.5,354,561,847,1195,1576,1969,2365.5
68,26,65,150,278.5,453,709,1038,1411.5,1802.5,2198.5
69,28,68,155,287,466.5,728.5,1061.5,1436.5,1828,2223.5
70,26,64,147.5,276,452.5,712,1044.5,1419.5,1810.5,2206.5
71,22,55.5,130.5,246.5,408.5,652.5,974,1344.5,1735,2131
72,22.5,56.5,132.5,249.5,412.5,657.5,979.5,1349.5,1740,2136
73,21,53.5,127,241.5,403.5,648,971,1343,1733.5,2129.5
74,21,52.5,123,234.5,394,637.5,960.5,1332.5,1723.5,2119.5
75,23,56,130.5,250,421.5,680,1014.5,1391.5,1783.5,2180
76,19.5,48,115,227,392.5,647.5,981,1358.5,1750.5,2147
77,18.5,44,103,200.5,348,583,904,1276,1667,2063
78,18,43.5,101,196,340,571,888.5,1259,1649.5,2045.5
79,17,41.5,96.5,188.5,326,549.5,860.5,1228.5,1619,2015
80,16,39,90,175,304.5,519.5,824.5,1189.5,1579,1975.5
81,16,38,87,169,295,505,807,1171.5,1561,1957
82,17,40.5,93,180.5,313,532,841.5,1209.5,1600.5,1997
83,15,36,83.5,162.5,285.5,494.5,797.5,1164,1554,1950.5
84,14,33.5,77,148,257.5,446.5,730.5,1086.5,1473.5,1869
85,13.5,33,75,144,252,440,724,1080.5,1468,1864
86,13.5,32.5,74,141.5,247.5,432.5,715,1070.5,1458,1854
87,13,31,69.5,133.5,233.5,410.5,684.5,1035.5,1421,1816.5
88,14,33.5,76,145.5,254.5,443,727.5,1083.5,1470.5,1866
89,12.5,30,67.5,129.5,227,400.5,671.5,1021,1406.5,1801.5
90,12.5,30,67.5,129.5,227,400.5,671.5,1021,1406.5,1801.5
91,12.5,29.5,67.5,129,226,398,667,1014.5,1399.5,1794.5
92,11.5,27,60.5,114.5,200,353.5,601.5,935,1314,1707.5
93,11.5,27,58.5,108,185,324.5,554.5,874,1247,1639
94,11.5,26,56,103,177,312,538.5,855.5,1227,1618
95,11.5,26,56,103.5,179,318,549.5,871,1244.5,1636.5
96,12.5,27.5,57.5,104,177,311,535.5,851.5,1223,1614
97,12.5,27.5,57.5,104.5,177,310,532,845,1214,1604.5
98,12,27.5,56.5,99.5,166.5,290.5,502.5,808,1173,1562
99,13,29,58.5,102.5,170.5,295,506,810,1174,1563
100,12.5,27,54,94,154,265,456.5,742,1096,1480.5
101,11,24.5,50,87,143.5,248.5,432.5,712,1063.5,1447.5
102,12.5,28.5,59,105.5,176.5,303.5,514,813,1173,1559.5
103,14,31.5,64.5,115,191.5,327,547,854,1218.5,1606.5
104,14.5,31.5,64,113,188,322.5,543.5,852.5,1218.5,1607.5
105,14.5,31.5,64,113,188,322.5,543.5,852.5,1218.5,1607.5
106,16,35.5,75.5,136.5,227,381,620.5,942,1314.5,1706
107,13.5,31.5,69,127,213,361.5,594,911,1281.5,1673
108,13,30.5,67,123,207,352,582,897,1266.5,1657
109,12,28.5,62.5,115.5,196,338,566,881.5,1251.5,1642.5
110,11,26,57,105,179.5,312.5,532.5,842,1210,1600.5
111,11,26,58.5,110,190.5,333.5,565.5,884.5,1256.5,1648.5
112,10,24.5,55,104,180,318,544.5,860.5,1232,1624
113,10.5,24.5,53.5,100.5,175,310,535.5,852,1224,1616
114,10.5,25,55.5,105,183.5,325.5,559,881.5,1256,1649
115,9.5,22,48.5,91.5,160.5,288,505,816,1186.5,1578.5
116,9.5,22,50,95,168,303,530.5,850.5,1224.5,1617.5
117,9.5,22,49,93.5,165,298.5,525.5,846,1221.5,1615
118,8,19.5,43.5,82.5,145.5,267,479,790.5,1163,1556
119,10,24,54.5,105,186,335.5,580.5,914.5,1295.5,1690
120,10.5,25.5,57,109,191.5,340.5,584.5,917,1297,1692
121,10.5,26,59,113.5,200,355.5,606,943,1324.5,1719.5
122,10,24.5,55.5,106.5,188,335.5,577,907.5,1287,1681.5
123,10,25.5,61,121,215,381.5,642.5,985.5,1368.5,1764
124,7.5,20,47.5,94,169,307,538,861.5,1239,1633
125,12,29.5,68,133,234.5,412,683.5,1032,1417.5,1813
126,10.5,26.5,62,121.5,215,381.5,642.5,985,1368,1763.5
127,10,25,58,112,198,352.5,601,935,1315,1710
128,11,27,61.5,117,203,355.5,601,932.5,1311,1705
129,9,23.5,54.5,104.5,182.5,324,557.5,882,1259,1653
130,11,28.5,66,127,220.5,384.5,642,981.5,1363.5,1758.5
131,10,26,60.5,116.5,204.5,363,617.5,957,1339,1733.5
132,9.5,25.5,60.5,116.5,206,367.5,627,969.5,1352.5,1747.5
133,9.5,24.5,57,109,192.5,346.5,598.5,937.5,1320,1715
134,7.5,21,51,102,184.5,337.5,589,929,1312,1707.5
135,7,18.5,43.5,85.5,155.5,289.5,521.5,849,1228,1622.5
136,7,17.5,40.5,79,145.5,277,510.5,842.5,1223.5,1619
137,8,21,49,96,175.5,331,593,941,1326.5,1722
138,7,18,42.5,84,155,296.5,543,883,1266.5,1662
139,6.5,16.5,39,79,149,289,532.5,871,1254,1650
140,6.5,17,42,87,166,320.5,582.5,933,1321,1717.5
141,6.5,16,39,81,154.5,301,554,899,1285,1681.5
142,5.5,14.5,34.5,71,136.5,272.5,515.5,856,1241,1637.5
143,5.5,14.5,34.5,71,135.5,269,508.5,847.5,1232.5,1629
144,6,15.5,36,73,138.5,273.5,515.5,855.5,1241,1637.5
145,6,15,36,74,142,281.5,529.5,875,1263,1660
146,6,14,32,64,122.5,246.5,478.5,814,1198.5,1595
147,6.5,16,37,74.5,142.5,282,531,877,1265,1662
148,6.5,15,34.5,70,134.5,270,516.5,861.5,1249,1645.5
149,5.5,13.5,31.5,64,123.5,250.5,487.5,827.5,1213.5,1610
150,4.5,12,30.5,64.5,125,252,488.5,828.5,1215.5,1612.5
151,4.5,12,28.5,58.5,112.5,227,445.5,773,1155.5,1551.5
152,5.5,15,36.5,74.5,142.5,283.5,535.5,882.5,1270,1666.5
153,6,16,40,84,163,322.5,593.5,950.5,1340.5,1737.5
154,4.5,13,32.5,67.5,131.5,267.5,516.5,864,1252,1649
155,4.5,12.5,32,67,131.5,267.5,518,867.5,1257,1654
156,4.5,11.5,27.5,57,111,231,464,804.5,1191.5,1588
157,4,11,27,55,105,214,430,760,1144.5,1541
158,3.5,10.5,25.5,52,99.5,205.5,419.5,749.5,1133.5,1530
159,5,14.5,35,69,127,249,483.5,824.5,1211.5,1608
160,5.5,15.5,37.5,73.5,134,260.5,498.5,841.5,1228.5,1625
161,5,15,37.5,75,139,271.5,517.5,865,1254,1651
162,7,20,50.5,103,190.5,360.5,642.5,1007,1399,1796.5
163,5.5,16,39,79.5,149.5,294,553.5,908,1298.5,1696.5
164,5.5,15.5,38,78,149,297,562,919.5,1310,1707.5
165,4,12,31,64.5,125.5,260.5,516,871,1262,1659.5
166,4,12,30.5,64,127.5,269.5,536,897.5,1289.5,1687.5
167,4,12,30.5,63.5,126,266.5,531,891,1283.5,1681
168,4,11.5,30,63.5,127.5,271,539.5,902.5,1295,1693
169,3.5,10.5,27,58.5,118.5,256.5,521,883,1275.5,1673.5
170,3.5,10.5,27,58.5,118.5,256.5,521,883,1275.5,1673.5
171,3,9,23.5,51.5,106,233,483,839.5,1231.5,1629.5
172,4,11,28,60.5,124.5,269.5,540.5,904.5,1297.5,1695.5
173,4.5,12,31,68,140,299.5,583.5,953,1347.5,1745.5
