Name,FTSE 100 - PRICE INDEX,TR UK GVT BMK BID YLD 10Y (£) - RED. YIELD
Code,FTSE100,TRUK10T
0,7687.77,1.188
1,7648.1,1.288
2,7671.11,1.215
3,7695.88,1.235
4,7724.22,1.246
5,7696.51,1.237
6,7731.02,1.283
7,7748.51,1.288
8,7762.94,1.309
9,7778.64,1.337
10,7769.14,1.324
11,7755.93,1.304
12,7725.43,1.31
13,7700.96,1.333
14,7730.79,1.339
15,7715.44,1.359
16,7731.83,1.355
17,7643.43,1.408
18,7615.84,1.414
19,7665.54,1.445
20,7671.53,1.454
21,7587.98,1.462
22,7533.55,1.514
23,7490.39,1.535
24,7443.43,1.579
25,7334.98,1.559
26,7141.4,1.522
27,7279.42,1.551
28,7170.69,1.617
29,7092.43,1.573
30,7177.06,1.602
31,7168.01,1.618
32,7213.97,1.642
33,7234.81,1.649
34,7294.7,1.582
35,7247.66,1.604
36,7246.77,1.587
37,7281.57,1.556
38,7252.39,1.548
39,7244.41,1.521
40,7289.58,1.512
41,7282.45,1.562
42,7231.91,1.502
43,7175.64,1.468
44,7069.9,1.475
45,7115.98,1.498
46,7146.75,1.521
47,7157.84,1.494
48,7203.24,1.474
49,7224.51,1.494
50,7214.76,1.496
51,7138.78,1.488
52,7132.69,1.44
53,7139.76,1.44
54,7164.14,1.431
55,7042.93,1.445
56,7061.27,1.484
57,7038.97,1.53
58,6952.59,1.439
59,6921.94,1.446
60,6888.69,1.44
61,7000.14,1.42
62,7044.74,1.367
63,7056.61,1.351
64,7056.61,1.351
65,7056.61,1.351
66,7030.46,1.359
67,7034.01,1.368
68,7199.5,1.418
69,7183.64,1.395
70,7194.75,1.406
71,7266.75,1.407
72,7257.14,1.388
73,7258.34,1.456
74,7264.56,1.437
75,7198.2,1.464
76,7226.05,1.437
77,7317.34,1.416
78,7328.92,1.52
79,7368.17,1.48
80,7398.87,1.538
81,7425.4,1.541
82,7379.32,1.54
83,7421.43,1.506
84,7502.21,1.446
85,7509.3,1.419
86,7520.36,1.407
87,7543.2,1.458
88,7502.69,1.391
89,7567.14,1.399
90,7567.14,1.399
91,7565.75,1.445
92,7662.52,1.459
93,7700.97,1.43
94,7724.55,1.439
95,7710.98,1.472
96,7722.98,1.517
97,7734.2,1.503
98,7787.97,1.562
99,7778.79,1.5
100,7859.17,1.475
101,7877.45,1.523
102,7788.44,1.439
103,7716.74,1.401
104,7730.28,1.324
105,7730.28,1.324
106,7632.64,1.194
107,7689.57,1.257
108,7678.2,1.23
109,7701.77,1.282
110,7741.29,1.297
111,7686.8,1.285
112,7712.37,1.374
113,7704.4,1.399
114,7681.07,1.389
115,7737.43,1.406
116,7703.81,1.4
117,7703.71,1.368
118,7765.79,1.335
119,7633.91,1.327
120,7631.33,1.323
121,7603.85,1.281
122,7627.4,1.299
123,7556.44,1.277
124,7682.27,1.32
125,7509.84,1.292
126,7537.92,1.303
127,7621.69,1.247
128,7615.63,1.263
129,7636.93,1.279
130,7547.85,1.255
131,7593.29,1.243
132,7573.09,1.275
133,7603.22,1.26
134,7617.7,1.267
135,7687.99,1.258
136,7692.04,1.302
137,7591.96,1.295
138,7651.33,1.283
139,7661.87,1.273
140,7600.45,1.282
141,7626.33,1.261
142,7676.28,1.228
143,7683.97,1.186
144,7678.79,1.232
145,7655.79,1.273
146,7709.05,1.276
147,7658.26,1.273
148,7663.17,1.279
149,7701.31,1.28
150,7700.85,1.344
151,7748.76,1.331
152,7652.91,1.38
153,7575.93,1.377
154,7659.1,1.329
155,7663.78,1.304
156,7718.48,1.325
157,7776.65,1.314
158,7741.77,1.296
159,7667.01,1.243
160,7642.45,1.253
161,7611.64,1.264
162,7497.87,1.226
163,7556.38,1.24
164,7558.59,1.235
165,7591.26,1.224
166,7565.7,1.267
167,7574.24,1.273
168,7563.22,1.272
169,7577.49,1.278
170,7577.49,1.278
171,7617.22,1.452
172,7563.21,1.491
173,7516.03,1.456
174,7432.42,1.43
175,7504.6,1.406
176,7457.86,1.431
177,7383.28,1.445
178,7318.96,1.418
179,7277.7,1.46
180,7279.3,1.469
181,7273.54,1.5
182,7313.36,1.482
183,7281.57,1.503
184,7304.04,1.531
185,7302.1,1.537
186,7300.23,1.57
187,7331.12,1.61
188,7367.32,1.586
189,7490.23,1.554
190,7458.41,1.616
191,7507.56,1.632
192,7511.49,1.595
193,7545.44,1.6
194,7510.2,1.574
195,7495.67,1.589
196,7474.55,1.529
197,7510.28,1.577
198,7418.34,1.669
199,7318.54,1.726
200,7233.33,1.676
201,7237.59,1.718
202,7145.74,1.73
203,7006.93,1.675
204,6995.91,1.634
205,7029.22,1.611
206,7059.4,1.609
207,7054.6,1.576
208,7026.99,1.541
209,7049.8,1.579
210,7042.8,1.529
211,6955.21,1.472
212,6962.98,1.458
213,7004.1,1.443
214,6939.56,1.385
215,7026.32,1.401
216,7035.85,1.399
217,7128.1,1.438
218,7114.66,1.453
219,7094.12,1.493
220,7103.84,1.502
221,7040.68,1.538
222,7117.28,1.532
223,7140.68,1.566
224,7105.34,1.492
225,7053.08,1.453
226,7053.76,1.522
227,7033.79,1.508
228,7038.01,1.37
229,7013.88,1.414
230,7000.89,1.377
231,6947.92,1.385
232,7050.23,1.396
233,6960.32,1.428
234,6952.86,1.382
235,7036,1.41
236,7016.85,1.393
237,7004.52,1.378
238,7038.95,1.367
239,6980.24,1.367
240,7062.41,1.314
241,7022.76,1.283
242,6921.84,1.316
243,6704.05,1.244
244,6778.11,1.269
245,6721.54,1.199
246,6806.94,1.189
247,6880.19,1.278
248,6877.5,1.293
249,6845.17,1.242
250,6773.24,1.266
251,6701.59,1.281
252,6765.94,1.273
253,6711.93,1.267
254,6721.17,1.32
255,6685.99,1.262
256,6685.99,1.262
257,6685.99,1.262
258,6584.68,1.308
259,6733.97,1.268
260,6728.13,1.269
